Customer ID,Feedback Date,Feedback Text,Feedback Channel,Customer Sentiment,Service Category,Region,Customer Segment,Response Time,Resolution Status,Assigned Topic,Customer Satisfaction Score,Feedback Category,Customer Interaction History,Bank Response Text,Areas Bank is Lacking
59,2024-01-18 09:27:59.297158,"The mobile app update improved performance, thank you!",Email,Positive,Savings Accounts,Australia,Retirees,43,Unresolved,Service Issue,3,Technical Issue,Provided feedback 2 months ago,Your issue has been resolved.,Technical Issues
60,2024-02-19 09:27:59.297160,"Very satisfied with customer service, helped resolve my issue quickly.",Phone Call,Positive,Savings Accounts,Australia,Students,41,Resolved,Service Issue,5,Technical Issue,Frequent user,We apologize for the inconvenience.,Slow Customer Service
61,2024-05-15 09:27:59.297162,"The mobile app update improved performance, thank you!",Mobile App,Mixed,Online Banking,North America,Young Professionals,36,Resolved,Service Issue,2,Technical Issue,First interaction,We apologize for the inconvenience.,Loan Processing Delays
62,2024-06-06 09:27:59.297163,"The app logs me out constantly, very frustrating.",Social Media,Positive,Fees & Charges,Asia,Small Business,12,Unresolved,Service Issue,1,Technical Issue,Provided feedback 2 months ago,We apologize for the inconvenience.,ATM Failures
63,2024-03-11 09:27:59.297165,"I waited 30 minutes to speak to someone, and they weren't helpful.",Social Media,Positive,Online Banking,Asia,Retirees,2,Resolved,Service Issue,3,Customer Service,First interaction,We apologize for the inconvenience.,Loan Processing Delays
64,2023-11-22 09:27:59.297166,"Mobile banking interface is user-friendly, much appreciated.",Social Media,Positive,Loan Services,Europe,Young Families,38,Unresolved,Service Issue,5,Technical Issue,Frequent user,We apologize for the inconvenience.,Slow Customer Service
65,2024-07-17 09:27:59.297168,"Mortgage rates are competitive, happy with the process.",Email,Negative,Mortgage Services,Europe,Young Families,45,Resolved,Service Issue,4,Technical Issue,Provided feedback 2 months ago,Your issue has been resolved.,Technical Issues
66,2024-03-02 09:27:59.297170,"Service charges are too high for young professionals, need better options.",Branch Visit,Negative,Mobile Banking,Europe,Small Business,28,Resolved,Service Issue,5,Customer Service,Called last year,Your issue has been resolved.,High Fees
67,2024-02-03 09:27:59.297172,"Loan approval took forever, not coming back for another loan.",Social Media,Mixed,Loan Services,Australia,Small Business,19,Unresolved,Service Issue,1,Technical Issue,First interaction,Thank you for your feedback.,High Fees
68,2024-05-30 09:27:59.297173,"Investment advice was very helpful, made some good decisions.",Phone Call,Positive,Investment Advice,North America,Students,46,Unresolved,Service Issue,4,Technical Issue,Frequent user,Your issue has been resolved.,Technical Issues
69,2024-05-03 09:27:59.297175,"Quick and easy mortgage application, great experience.",Phone Call,Positive,Loan Services,North America,Young Professionals,12,Unresolved,Service Issue,4,Technical Issue,First interaction,We are working on resolving your issue.,ATM Failures
70,2024-02-27 09:27:59.297176,It took too long to get a response from customer support.,Social Media,Positive,Fees & Charges,South America,Young Professionals,13,Resolved,Service Issue,3,Technical Issue,Frequent user,Thank you for your feedback.,Slow Customer Service
71,2024-04-11 09:27:59.297178,"App functionality needs improvement, crashes during transfers.",Mobile App,Mixed,Fees & Charges,Asia,Young Families,39,Resolved,Service Issue,2,Technical Issue,Frequent user,Thank you for your feedback.,High Fees
72,2023-10-15 09:27:59.297180,"App functionality needs improvement, crashes during transfers.",Social Media,Negative,ATM Services,South America,Small Business,24,Unresolved,Service Issue,4,Customer Service,Provided feedback 2 months ago,Thank you for your feedback.,Technical Issues
73,2023-11-22 09:27:59.297181,"The wait time for customer support is too long, not acceptable.",Survey,Mixed,Loan Services,North America,Young Professionals,13,Unresolved,Service Issue,3,Customer Service,Provided feedback 2 months ago,We are working on resolving your issue.,Slow Customer Service
74,2024-07-12 09:27:59.297183,"App functionality needs improvement, crashes during transfers.",Social Media,Negative,Mobile Banking,Europe,Young Families,3,Resolved,Service Issue,5,Technical Issue,Called last year,We are working on resolving your issue.,ATM Failures
75,2024-02-16 09:27:59.297184,"Great service at the branch, very helpful staff!",Email,Positive,Savings Accounts,Asia,Young Professionals,20,Unresolved,Service Issue,2,Usability,First interaction,We apologize for the inconvenience.,Loan Processing Delays
76,2024-05-04 09:27:59.297186,It took too long to get a response from customer support.,Mobile App,Negative,Credit Cards,North America,Young Families,15,Unresolved,Service Issue,5,Technical Issue,Called last year,Your issue has been resolved.,Loan Processing Delays
77,2024-07-31 09:27:59.297187,"The credit card features are excellent, love the rewards program.",Survey,Positive,Savings Accounts,South America,Young Professionals,4,Resolved,Service Issue,4,Customer Service,Frequent user,Your issue has been resolved.,Slow Customer Service
78,2024-02-03 09:27:59.297190,I had to call support twice to resolve the same issue.,Mobile App,Mixed,Credit Cards,South America,Students,4,Resolved,Service Issue,2,Usability,Frequent user,We apologize for the inconvenience.,High Fees
79,2024-07-04 09:27:59.297191,"I’m not happy with the loan approval process, very slow.",Survey,Negative,Investment Advice,Australia,Retirees,16,Unresolved,Service Issue,5,Customer Service,First interaction,Thank you for your feedback.,Technical Issues
80,2024-06-23 09:27:59.297193,"The mobile app update improved performance, thank you!",Phone Call,Positive,Investment Advice,North America,Retirees,10,Resolved,Service Issue,5,Customer Service,First interaction,We are working on resolving your issue.,ATM Failures
81,2024-04-17 09:27:59.297194,"Great service at the branch, very helpful staff!",Survey,Negative,ATM Services,North America,Young Families,14,Resolved,Service Issue,3,Technical Issue,Provided feedback 2 months ago,We apologize for the inconvenience.,High Fees
82,2024-03-03 09:27:59.297198,"I had a great experience getting my credit card, easy and fast process.",Social Media,Positive,ATM Services,North America,Retirees,41,Unresolved,Service Issue,3,Technical Issue,Frequent user,We apologize for the inconvenience.,Loan Processing Delays
83,2024-08-29 09:27:59.297200,"Loan approval took forever, not coming back for another loan.",Email,Mixed,Mobile Banking,Australia,Students,44,Unresolved,Service Issue,4,Usability,Frequent user,We are working on resolving your issue.,Slow Customer Service
84,2023-12-19 09:27:59.297202,"Great service at the branch, very helpful staff!",Email,Positive,Online Banking,Asia,Small Business,11,Resolved,Service Issue,5,Usability,Frequent user,Your issue has been resolved.,ATM Failures
85,2023-11-08 09:27:59.297203,I had to call support twice to resolve the same issue.,Phone Call,Positive,Credit Cards,Asia,Young Families,41,Resolved,Service Issue,4,Usability,Called last year,We apologize for the inconvenience.,Technical Issues
86,2024-04-17 09:27:59.297205,"App functionality needs improvement, crashes during transfers.",Mobile App,Mixed,Online Banking,Europe,Small Business,2,Unresolved,Service Issue,5,Customer Service,Frequent user,Your issue has been resolved.,Technical Issues
87,2024-08-18 09:27:59.297206,"The bank charges too many fees, thinking of switching.",Mobile App,Positive,Fees & Charges,Australia,Retirees,8,Resolved,Service Issue,1,Customer Service,Called last year,We are working on resolving your issue.,ATM Failures
88,2024-05-31 09:27:59.297208,"Mobile banking interface is user-friendly, much appreciated.",Survey,Mixed,Loan Services,Europe,Young Professionals,30,Resolved,Service Issue,5,Usability,Called last year,Thank you for your feedback.,Technical Issues
89,2023-11-26 09:27:59.297209,The interest rates on savings accounts are too low.,Mobile App,Positive,Credit Cards,Asia,Young Families,35,Unresolved,Service Issue,1,Usability,Provided feedback 2 months ago,Your issue has been resolved.,Loan Processing Delays
90,2024-04-09 09:27:59.297211,It took too long to get a response from customer support.,Survey,Negative,Credit Cards,North America,Small Business,17,Resolved,Service Issue,2,Technical Issue,Frequent user,We apologize for the inconvenience.,ATM Failures
91,2024-09-06 09:27:59.297212,The mobile app is too slow and keeps crashing.,Branch Visit,Negative,Fees & Charges,Australia,Young Professionals,12,Unresolved,Service Issue,1,Customer Service,Frequent user,We are working on resolving your issue.,High Fees
92,2023-11-05 09:27:59.297214,The mobile app is too slow and keeps crashing.,Branch Visit,Positive,Mobile Banking,North America,Small Business,9,Unresolved,Service Issue,2,Usability,Frequent user,We apologize for the inconvenience.,ATM Failures
93,2023-10-02 09:27:59.297216,The interest rates on savings accounts are too low.,Email,Mixed,Online Banking,Asia,Young Professionals,2,Unresolved,Service Issue,3,Usability,Called last year,We are working on resolving your issue.,Technical Issues
94,2024-05-01 09:27:59.297218,"Investment advice was very helpful, made some good decisions.",Email,Mixed,Loan Services,North America,Students,35,Resolved,Service Issue,1,Customer Service,Called last year,We are working on resolving your issue.,High Fees
95,2023-10-25 09:27:59.297219,"Mortgage rates are competitive, happy with the process.",Branch Visit,Negative,Credit Cards,Europe,Young Professionals,38,Unresolved,Service Issue,5,Customer Service,Called last year,We are working on resolving your issue.,ATM Failures
96,2024-04-17 09:27:59.297221,I had to call support twice to resolve the same issue.,Phone Call,Negative,Credit Cards,Australia,Students,36,Unresolved,Service Issue,3,Customer Service,Frequent user,Thank you for your feedback.,Technical Issues
97,2023-12-31 09:27:59.297222,"Very satisfied with customer service, helped resolve my issue quickly.",Phone Call,Positive,Loan Services,Asia,Students,35,Unresolved,Service Issue,4,Customer Service,Frequent user,Your issue has been resolved.,High Fees
98,2024-02-17 09:27:59.297224,"Mobile banking interface is user-friendly, much appreciated.",Mobile App,Mixed,Online Banking,Australia,Young Families,44,Resolved,Service Issue,5,Usability,First interaction,Your issue has been resolved.,Loan Processing Delays
99,2024-05-11 09:27:59.297225,"ATM service is unreliable, often out of service.",Phone Call,Positive,Mortgage Services,Asia,Students,43,Resolved,Service Issue,3,Customer Service,Frequent user,Thank you for your feedback.,Slow Customer Service
100,2024-05-04 09:27:59.297227,"The mobile app update improved performance, thank you!",Mobile App,Mixed,Mobile Banking,South America,Young Families,36,Unresolved,Service Issue,4,Customer Service,Called last year,Your issue has been resolved.,High Fees
101,2024-01-06 09:27:59.297228,"The app has many technical issues, crashes frequently.",Email,Positive,Mortgage Services,South America,Students,11,Unresolved,Service Issue,1,Usability,Frequent user,Thank you for your feedback.,Loan Processing Delays
102,2023-11-14 09:27:59.297230,It took too long to get a response from customer support.,Branch Visit,Negative,Investment Advice,Europe,Retirees,43,Resolved,Service Issue,3,Usability,First interaction,Your issue has been resolved.,Loan Processing Delays
103,2024-05-25 09:27:59.297232,Why are there so many hidden fees? Totally dissatisfied.,Survey,Negative,Loan Services,Australia,Young Professionals,10,Unresolved,Service Issue,1,Technical Issue,First interaction,We apologize for the inconvenience.,ATM Failures
104,2024-02-28 09:27:59.297233,The interest rates on savings accounts are too low.,Phone Call,Mixed,ATM Services,Europe,Young Families,26,Resolved,Service Issue,1,Usability,Provided feedback 2 months ago,We apologize for the inconvenience.,ATM Failures
105,2023-11-05 09:27:59.297235,"The wait time for customer support is too long, not acceptable.",Phone Call,Mixed,Fees & Charges,Australia,Young Families,39,Unresolved,Service Issue,3,Technical Issue,Frequent user,Your issue has been resolved.,Slow Customer Service
106,2023-10-08 09:27:59.297236,I had to call support twice to resolve the same issue.,Email,Negative,Mobile Banking,Asia,Small Business,33,Resolved,Service Issue,4,Technical Issue,First interaction,Your issue has been resolved.,Technical Issues
107,2024-05-24 09:27:59.297238,"Loan approval took forever, not coming back for another loan.",Mobile App,Negative,Investment Advice,South America,Students,12,Resolved,Service Issue,2,Technical Issue,Provided feedback 2 months ago,Thank you for your feedback.,High Fees
108,2024-04-17 09:27:59.297240,"The ATM was out of cash twice last week, very frustrating.",Branch Visit,Mixed,Fees & Charges,Asia,Retirees,10,Resolved,Service Issue,4,Usability,First interaction,We are working on resolving your issue.,ATM Failures
109,2023-12-19 09:27:59.297241,"Mortgage rates are competitive, happy with the process.",Email,Positive,Mobile Banking,North America,Students,23,Resolved,Service Issue,1,Customer Service,Called last year,We are working on resolving your issue.,ATM Failures
110,2024-02-20 09:27:59.297243,"I waited 30 minutes to speak to someone, and they weren't helpful.",Mobile App,Positive,Savings Accounts,Australia,Young Professionals,28,Resolved,Service Issue,1,Technical Issue,Frequent user,Your issue has been resolved.,High Fees
111,2024-06-19 09:27:59.297244,"Service charges are too high for young professionals, need better options.",Branch Visit,Positive,Mobile Banking,Australia,Young Families,4,Unresolved,Service Issue,2,Usability,Called last year,Your issue has been resolved.,ATM Failures
112,2024-02-07 09:27:59.297246,"Very satisfied with customer service, helped resolve my issue quickly.",Mobile App,Positive,Fees & Charges,North America,Young Professionals,6,Unresolved,Service Issue,4,Customer Service,Called last year,We are working on resolving your issue.,Loan Processing Delays
113,2024-05-22 09:27:59.297248,I had to call support twice to resolve the same issue.,Social Media,Mixed,Credit Cards,Australia,Young Professionals,16,Resolved,Service Issue,4,Customer Service,Called last year,We apologize for the inconvenience.,High Fees
114,2024-03-13 09:27:59.297249,"Service charges are too high for young professionals, need better options.",Phone Call,Negative,Credit Cards,Europe,Small Business,42,Unresolved,Service Issue,3,Usability,Frequent user,We are working on resolving your issue.,Technical Issues
115,2023-10-04 09:27:59.297251,"Loan approval took forever, not coming back for another loan.",Branch Visit,Positive,Investment Advice,Australia,Young Families,39,Unresolved,Service Issue,4,Usability,Frequent user,Your issue has been resolved.,ATM Failures
116,2024-02-28 09:27:59.297252,"The app has many technical issues, crashes frequently.",Email,Positive,ATM Services,North America,Young Professionals,10,Resolved,Service Issue,5,Technical Issue,Frequent user,We are working on resolving your issue.,High Fees
117,2023-11-11 09:27:59.297254,The interest rates on savings accounts are too low.,Phone Call,Mixed,Mobile Banking,Australia,Young Families,19,Unresolved,Service Issue,5,Technical Issue,Frequent user,Your issue has been resolved.,ATM Failures
118,2023-12-18 09:27:59.297256,The interest rates on savings accounts are too low.,Phone Call,Mixed,Fees & Charges,Asia,Young Professionals,42,Resolved,Service Issue,4,Technical Issue,Called last year,Thank you for your feedback.,Slow Customer Service
119,2024-04-04 09:27:59.297257,"High fees on savings accounts, definitely not competitive.",Email,Negative,Online Banking,South America,Retirees,7,Unresolved,Service Issue,2,Technical Issue,Provided feedback 2 months ago,We apologize for the inconvenience.,Loan Processing Delays
120,2024-05-10 09:27:59.297259,"Mobile banking interface is user-friendly, much appreciated.",Social Media,Positive,Savings Accounts,Asia,Retirees,4,Resolved,Service Issue,5,Technical Issue,Provided feedback 2 months ago,We apologize for the inconvenience.,High Fees
121,2024-06-07 09:27:59.297260,"The ATM was out of cash twice last week, very frustrating.",Survey,Mixed,Fees & Charges,Asia,Small Business,32,Resolved,Service Issue,2,Customer Service,First interaction,Thank you for your feedback.,Technical Issues
122,2024-08-17 09:27:59.297262,"Customer support was unhelpful, they couldn't resolve my issue.",Phone Call,Negative,Savings Accounts,Europe,Students,17,Unresolved,Service Issue,1,Customer Service,Called last year,We are working on resolving your issue.,High Fees
123,2023-10-05 09:27:59.297264,"The credit card features are excellent, love the rewards program.",Survey,Negative,Online Banking,Europe,Young Families,3,Unresolved,Service Issue,4,Usability,First interaction,Your issue has been resolved.,Technical Issues
124,2024-05-01 09:27:59.297265,"The bank charges too many fees, thinking of switching.",Branch Visit,Negative,Mortgage Services,Asia,Young Families,3,Resolved,Service Issue,1,Technical Issue,Called last year,We apologize for the inconvenience.,ATM Failures
